AFG	24700	69060
ALB	792250	1549030
DZA	34050	182150
ASM	25410890	121231130
AND	47199120	51852560
AGO	40500	138350
AIA	148230040	409243800
ATG	21328570	59121310
ARG	42270	95810
ARM	777100	1099510
ABW	22199070	33432340
AUS	113350	190500
AUT	381050	381050
AZE	197180	449890
BHR	1694100	8470500
BGD	10630	38100
BRB	9168400	12727890
BLR	313830	247760
BEL	242470	284960
BLZ	3667510	14853420
BEN	82700	366990
BMU	39565000	53224350
BTN	2402340	6369850
BOL	128340	442280
BIH	927940	824840
BWA	689600	1073290
BRA	10710	23210
VGB	83749390	180635940
BRN	4199280	20063210
BGR	501580	304410
BFA	38850	140540
KHM	84460	260040
CAN	86580	104920
CYM	45510250	96609480
CAF	165020	424170
TCD	73700	190050
CHL	130420	292910
CHN	1850	2980
COL	40970	123670
COM	1475240	5362700
COG	11340	39170
COD	185160	670000
COK	234051460	397605490
CRI	412240	1407000
CIV	47110	139830
HRV	812290	604190
CUB	261180	327990
CYP	2294600	3904250
DNK	542090	547350
DJI	1578240	4900840
DMA	28129360	54122300
DOM	159850	646340
ECU	107750	384530
EGY	10990	70880
SLV	314250	898640
GNQ	1266000	5190590
ERI	178490	735960
EST	2432770	2004600
ETH	8350	38990
FLK	987107130	2195809750
FRO	44644270	71841360
FJI	1813380	5648220
FIN	536050	579360
FRA	38360	50740
PYF	7368540	21672180
GAB	528840	1384680
GMB	521340	2210180
GEO	511940	587090
DEU	45960	33680
GHA	38050	165070
GIB	76261450	128010290
GRC	344380	261360
GRL	37936530	63521630
GRD	17946120	35006010
GUM	11603540	37265210
GTM	84740	441730
GGY	48538530	53446920
GIN	73660	283450
GNB	544890	1271400
GUY	2764720	5790960
HTI	129080	390580
HND	155530	681930
HKG	483510	611100
HUN	350940	249500
ISL	6803710	14903370
IND	1290	3410
IDN	7440	19080
IRN	21400	64550
IRQ	26750	217560
IRL	439150	979650
IMN	32506480	35403100
ISR	210810	741890
ITA	58460	49380
JAM	589830	1584620
JPN	31910	25930
JEY	26575990	41762270
JOR	151090	1013870
KAZ	91850	209470
KEN	26850	99110
KIR	13846750	41540240
KOR	86000	135020
PRK	73720	106770
KWT	567990	5060250
KGZ	243630	834240
LAO	187990	599050
LVA	1620530	1114110
LBN	351090	1031770
LSO	643300	1083680
LBR	216340	772010
LBY	270820	1339050
LIE	79930090	113873000
LTU	1104880	761990
LUX	4750740	7418970
MKD	1305820	1650220
MDG	40210	192660
MWI	41120	209650
MYS	52520	199790
MDV	5015780	20577550
MLI	40660	143290
MLT	7520250	8255920
MHL	17191450	102330070
MRT	277540	1058750
MUS	1785530	3341490
MEX	13840	48310
FSM	14834920	71702090
MDA	761300	712970
MCO	156246750	107419640
MNG	530780	1651330
MNE	4796570	5096360
MSR	544315380	950391930
MAR	52060	195210
MOZ	31750	102200
NAM	463920	1597940
NRU	134757480	557302130
NPL	54580	190560
NLD	170020	210590
NCL	7534770	20451520
NZL	529910	952410
NIC	295270	1036320
NER	37770	139830
NGA	4540	13350
MNP	34291960	155216250
NOR	490950	739450
OMN	386790	2848170
PAK	7000	24390
PLW	131902110	184662950
PAN	470230	1736970
PNG	193480	714400
PRY	278500	977700
PER	56990	170980
PHL	12800	50380
POL	85270	79480
PRT	319880	262240
PRI	816090	1001560
QAT	1439650	9309730
ROU	162220	122690
RUS	19600	16290
RWA	72910	275910
SHN	417079410	525411730
KNA	45311930	84880090
LCA	14203720	25230290
SPM	782841820	575149090
VCT	22993970	42208110
WSM	7695690	29911570
SMR	110169050	110169050
STP	4794080	22806120
SAU	60860	339360
SEN	64770	265330
SRB	490490	324590
SYC	24346760	49046370
SLE	142770	494290
SGP	649340	1558410
MAF	58027490	152032010
SVK	590910	590910
SVN	1920860	1386360
SLB	1962880	13068650
SOM	72880	219200
ZAF	28330	60500
ESP	69080	71360
LKA	91500	228760
SDN	30130	114480
SUR	3364490	8824900
SWZ	894140	1621460
SWE	265980	339540
CHE	367200	470190
SYR	84570	458770
TJK	159050	620560
TZA	16690	77040
THA	41660	58530
TLS	739860	4167880
TGO	120640	572610
TON	13100730	60423780
TTO	1972450	2970000
TUN	172700	472040
TUR	24550	66590
TKM	308810	977040
TCA	39056240	191619680
TUV	120909030	334608700
UGA	18960	79130
UKR	67940	49540
ARE	347730	2660150
GBR	40450	52070
USA	7790	11870
URY	723910	1001160
UZB	63310	201880
VUT	4637600	27712470
VEN	53130	196190
VNM	21090	56110
WLF	151374350	387169010
ESH	1802760	6551490
YEM	39430	188730
ZMB	48640	163970
ZWE	67960	218980
